codcnh,nombre,municipio,provincia,cod_postal,camas,clase,dependencia,complejo
300362,Hospital General Universitario Santa Lucia,Cartagena,Murcia,30202,667,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario de Cartagena CHC
300373,Hospital Perpetuo Socorro Alameda,Cartagena,Murcia,30205,93,Otros Centros con Internamiento,Privados,
300384,Hospital C. M. Virgen de La Caridad Cartagena,Cartagena,Murcia,30205,59,Otros Centros con Internamiento,Privados,
300395,Hospital IMED Virgen de La Fuensanta,Murcia,Murcia,30009,37,Otros Centros con Internamiento,Privados,
300406,Hospital del Guadalentín,Mazarrón,Murcia,30875,36,Otros Centros con Internamiento,Privados,
310039,Centro San Francisco Javier,Pamplona/Iruña,Navarra,31015,84,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,
310044,Hospital San Juan de Dios,Pamplona/Iruña,Navarra,31006,288,Hospitales Generales,Privados,
310057,Clínica Psiquiatrica Padre Menni,Pamplona/Iruña,Navarra,31014,217,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
310060,Clínica Universidad de Navarra,Pamplona/Iruña,Navarra,31008,230,Hospitales Generales,Privados,
310076,Clínica Arcángel San Miguel - Pamplona,Pamplona/Iruña,Navarra,31006,72,Hospitales Generales,Privados,
310109,Centro Hospitalario Benito Menni,Baztan,Navarra,31700,158,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
310121,Hospital Garcia Orcoyen,Estella-Lizarra,Navarra,31200,108,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
310137,Hospital Reina Sofia,Tudela,Navarra,31500,190,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
310142,Clínica Psico geriátrica Josefina Arregui,Altsasu/Alsasua,Navarra,31800,21,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
310150,Hospital Universitario de Navarra,Pamplona/Iruña,Navarra,31008,1077,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
320013,Complexo Hospitalario Universitario de Ourense,Ourense,Ourense,32005,859,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
320087,Centro Medico El Carmen,Ourense,Ourense,32003,43,Hospitales Generales,Privados,
320126,Hospital Publico de Valdeorras,"Barco de Valdeorras, O",Ourense,32300,100,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
320150,Hospital Publico de Verín,Verín,Ourense,32600,98,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
320163,Clínica Santa Teresa,Ourense,Ourense,32003,49,Hospitales Generales,Privados,
330045,Hospital Monte Naranco,Oviedo,Asturias,33012,194,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330061,Centro Medico de Asturias,Oviedo,Asturias,33193,105,Hospitales Generales,Privados,
330077,Clínica Asturias,Oviedo,Asturias,33012,46,Hospitales Generales,Privados,
330096,Clínica San Rafael,Oviedo,Asturias,33011,36,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
330100,Hospital Universitario San Agustín,Avilés,Asturias,33401,436,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330117,Fundacion Hospital de Avilés,Avilés,Asturias,33402,90,Hospitales especializados,Privados,
330138,Hospital Carmen y Severo Ochoa,Cangas del Narcea,Asturias,33800,103,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330143,Hospital de Jarrio,Coaña,Asturias,33719,116,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330156,Hospital Universitario de Cabueñes,Gijón,Asturias,33203,457,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330169,Hospital Cruz Roja Gijón,Gijón,Asturias,33202,120,Hospitales Generales,Privados,
330175,Hospital Covadonga,Gijón,Asturias,33204,24,Hospitales Generales,Privados,
330194,Hospital de Jove,Gijón,Asturias,33290,233,Hospitales Generales,Privados,
330208,Hospital Begoña,Gijón,Asturias,33204,41,Hospitales Generales,Privados,
330241,Hospital Valle del Nalon,Langreo,Asturias,33920,216,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330254,Fundacion Sanatorio Adaro,Langreo,Asturias,33900,153,Hospitales de media y larga estancia,Privados,
330292,Hospital Universitario Central de Asturias,Oviedo,Asturias,33011,991,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
